Note: Cost of energy is $1 for every 1500 MW used
Timestamp,Energy Consumption (MW),Estimated Energy Cost ($)
2024-06-12 17:56:55,1596.0,1.06
2024-06-12 17:57:00,1517.0,1.01
2024-06-12 17:57:05,1486.0,0.99
2024-06-12 17:57:10,1469.0,0.98
2024-06-12 17:57:15,1472.0,0.98
2024-06-12 17:57:20,1518.0,1.01
2024-06-12 17:57:25,1598.0,1.07
2024-06-12 17:57:30,1691.0,1.13
2024-06-12 17:57:35,1748.0,1.17
2024-06-12 17:57:40,1825.0,1.22
2024-06-12 17:57:45,1880.0,1.25
2024-06-12 17:57:50,1891.0,1.26
2024-06-12 17:57:55,1874.0,1.25
2024-06-12 17:58:00,1859.0,1.24
2024-06-12 17:58:05,1829.0,1.22
2024-06-12 17:58:10,1807.0,1.20
2024-06-12 17:58:15,1838.0,1.23
2024-06-12 17:58:21,1945.0,1.30
2024-06-12 17:58:26,1968.0,1.31
2024-06-12 17:58:31,1867.0,1.24
2024-06-12 17:58:36,1785.0,1.19
2024-06-12 17:58:41,1711.0,1.14
2024-06-12 17:58:46,1639.0,1.09
2024-06-12 17:58:51,1560.0,1.04
2024-06-12 17:58:56,1713.0,1.14
2024-06-12 17:59:01,1647.0,1.10
2024-06-12 17:59:06,1611.0,1.07
2024-06-12 17:59:11,1608.0,1.07
2024-06-12 17:59:16,1630.0,1.09
2024-06-12 17:59:21,1704.0,1.14
2024-06-12 17:59:26,1839.0,1.23
2024-06-12 17:59:31,1986.0,1.32
2024-06-12 17:59:36,2039.0,1.36
2024-06-12 17:59:41,2079.0,1.39
2024-06-12 17:59:46,2113.0,1.41
2024-06-12 17:59:51,2095.0,1.40
2024-06-12 17:59:56,2052.0,1.37
2024-06-12 18:00:01,2014.0,1.34
2024-06-12 18:00:06,1970.0,1.31
2024-06-12 18:00:11,1934.0,1.29
2024-06-12 18:00:16,1947.0,1.30
2024-06-12 18:00:21,2095.0,1.40
2024-06-12 18:00:26,2167.0,1.44
2024-06-12 18:00:31,2110.0,1.41
2024-06-12 18:00:36,2062.0,1.37
2024-06-12 18:00:41,1980.0,1.32
2024-06-12 18:00:46,1861.0,1.24
2024-06-12 18:00:51,1722.0,1.15
2024-06-12 18:00:56,1803.0,1.20
2024-06-12 18:01:01,1731.0,1.15
2024-06-12 18:01:06,1697.0,1.13
2024-06-12 18:01:11,1682.0,1.12
2024-06-12 18:01:16,1707.0,1.14
2024-06-12 18:01:21,1785.0,1.19
2024-06-12 18:01:26,1934.0,1.29
2024-06-12 18:01:31,2067.0,1.38
2024-06-12 18:01:36,2101.0,1.40
2024-06-12 18:01:41,2135.0,1.42
2024-06-12 18:01:46,2135.0,1.42
2024-06-12 18:01:51,2148.0,1.43
2024-06-12 18:01:56,2107.0,1.40
2024-06-12 18:02:01,2063.0,1.38
2024-06-12 18:02:06,2015.0,1.34
2024-06-12 18:02:11,1988.0,1.33
2024-06-12 18:02:16,2035.0,1.36
2024-06-12 18:02:21,2191.0,1.46
